Kode,12M 2006,12M 2007,12M 2008,12M 2009,12M 2010,12M 2011,12M 2012,12M 2013,12M 2014,12M 2015,12M 2016,12M 2017,12M 2018,12M 2019,12M 2020,12M 2021,12M 2022,12M 2023,12M 2024
MMLP,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
MNCN,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
MPMX,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True
MPPA,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
MRAT,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
MREI,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True
MSKY,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
MTDL,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
MTFN,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False
MTLA,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
MTSM,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
MYOH,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
MYOR,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
MYRX,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False
MYTX,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
NELY,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
NIKL,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
NIPS,False,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False
NIRO,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
NISP,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
NOBU,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True
NRCA,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True
OCAP,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
OKAS,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
OMRE,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
PADI,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
PALM,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
PANR,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
PANS,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
PBRX,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False
PDES,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
PEGE,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True
PGAS,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
PGLI,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
PICO,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True
PJAA,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
PKPK,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
PLAS,False,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False
PLIN,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
PNBN,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
PNBS,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
PNIN,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
PNLF,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
PNSE,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
POLY,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
POOL,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False,False,False
PPRO,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True
PRAS,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False
PSAB,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
PSDN,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
PSKT,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True
PTBA,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
PTIS,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
PTPP,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
PTRO,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
PTSN,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
PTSP,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
PUDP,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
PWON,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
PYFA,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
RAJA,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
RALS,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
RANC,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
RBMS,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
RDTX,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
RELI,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
RICY,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False
RIGS,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False
RIMO,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False
RODA,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ROTI,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
RUIS,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
SAFE,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
SAME,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
SCCO,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
SCMA,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
SCPI,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
SDMU,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
SDPC,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
SDRA,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
SGRO,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
SHID,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
SIDO,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True
SILO,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True
SIMA,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False
SIMP,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
SIPD,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
SKBM,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True
SKLT,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
SKYB,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False,False
SMAR,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
SMBR,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True
SMCB,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
SMDM,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True
SMDR,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
SMGR,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
SMMA,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
SMMT,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
SMRA,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
SMRU,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
SMSM,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
SOCI,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
SONA,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
SPMA,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
SQMI,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,False
SRAJ,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
SRIL,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False
SRSN,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
SRTG,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
SSIA,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
SSMS,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True
SSTM,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
STAR,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
STTP,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
SUGI,False,False,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False
SULI,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True
SUPR,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
TALF,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
TARA,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True
TAXI,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
TBIG,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
TBLA,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
TBMS,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True
TCID,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
TELE,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False
TFCO,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
TGKA,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
TIFA,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
TINS,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
TIRA,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True
TIRT,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
TKIM,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
TLKM,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
TMAS,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
TMPO,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
TOBA,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
TOTL,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
TOTO,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
TOWR,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
TPIA,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
TPMA,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
TRAM,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False
TRIL,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False
TRIM,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
TRIO,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
TRIS,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
TRST,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True
TRUS,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
TSPC,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
ULTJ,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
UNIC,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True
UNIT,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,False,False
UNSP,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
UNTR,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
UNVR,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
VICO,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True
VINS,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True
VIVA,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False
VOKS,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
VRNA,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
WAPO,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
WEHA,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
WICO,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
WIIM,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
WIKA,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
WINS,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
WOMF,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
WSKT,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
WTON,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
YPAS,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True
YULE,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
ZBRA,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False
SHIP,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True
CASA,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True
DAYA,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True
DPUM,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True
IDPR,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True
JGLE,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True
KINO,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
MARI,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True
MKNT,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,False,False
MTRA,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,False,False,False
OASA,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,False
POWR,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True
INCF,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True
WSBP,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True
PBSA,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True
PRDA,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True
BOGA,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True
BRIS,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True
PORT,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True
CARS,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
MINA,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
FORZ,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False
CLEO,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True
TAMU,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True
CSIS,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
TGRA,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,False
FIRE,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
TOPS,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,False
KMTR,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
ARMY,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,False
MAPB,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
WOOD,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
HRTA,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
MABA,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False,False
HOKI,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
MPOW,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
MARK,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
NASA,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
MDKI,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
BELL,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
KIOS,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
GMFI,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
MTWI,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
ZINC,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
MCAS,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
PPRE,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
WEGE,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
PSSI,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
MORA,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True
DWGL,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
PBID,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
JMAS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True
CAMP,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
IPCM,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
PCAR,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
LCKM,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
BOSS,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,False,False
HELI,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True
JSKY,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False,False
INPS,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True
GHON,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True
TDPM,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False
DFAM,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True
NICK,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True
BTPS,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True
SPTO,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True
PRIM,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True
HEAL,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True
TRUK,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True
PZZA,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True
TUGU,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True
MSIN,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True
SWAT,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,False
KPAL,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False
TNCA,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True
MAPA,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True
TCPI,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True
IPCC,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True
RISE,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True
BPTR,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True
POLL,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,False
NFCX,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True
MGRO,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True
NUSA,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
FILM,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True
ANDI,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True
LAND,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True
MOLI,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True
PANI,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True
DIGI,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True
CITY,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True
SAPX,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True
KPAS,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,False
SURE,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True
HKMU,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,False,False
MPRO,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True
DUCK,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False
GOOD,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True
SKRN,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True
YELO,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True
CAKK,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True
SATU,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True
ZONE,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True
PEHA,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True
FOOD,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True
BEEF,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True
POLI,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True
CLAY,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True
NATO,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True
JAYA,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True
COCO,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True
MTPS,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True
CPRI,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False
HRME,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True
POSA,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True
JAST,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True
FITT,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True
BOLA,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True
CCSI,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True
SFAN,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True
POLU,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True
KJEN,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,False
KAYU,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,False
ITIC,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True
PAMG,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True
IPTV,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True
BLUE,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True
ENVY,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True
EAST,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True
LIFE,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True
FUJI,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True
KOTA,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True
INOV,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True
ARKA,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True
SMKL,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True
HDIT,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True
KEEN,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True
BAPI,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True
TFAS,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True
GGRP,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True
OPMS,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True
NZIA,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True
SLIS,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True
PURE,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,True,True,False
IRRA,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True
DMMX,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True
SINI,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True
WOWS,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True
ESIP,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True
TEBE,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True
KEJU,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True
PSGO,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True
