No;Kode;Nama Perusahaan;Tanggal Pencatatan;Saham;Papan Pencatatan
338;NIKL;Pelat Timah Nusantara Tbk.;14/12/2009;2523350000;Pengembangan
339;NIPS;Nipress Tbk.;24/07/1991;1635333332;Pemantauan Khusus
340;NIRO;City Retail Developments Tbk.;13/09/2012;22198871804;Pengembangan
341;NISP;Bank OCBC NISP Tbk.;20/10/1994;22715776032;Utama
342;NOBU;Bank Nationalnobu Tbk.;20/05/2013;7403659460;Pengembangan
343;NRCA;Nusa Raya Cipta Tbk.;27/06/2013;2496258344;Pengembangan
344;OCAP;Onix Capital Tbk.;10/10/2003;273200000;Pemantauan Khusus
345;OKAS;Ancora Indonesia Resources Tbk;29/03/2006;2373449165;Pengembangan
346;OMRE;Indonesia Prima Property Tbk;22/08/1994;2945211000;Pemantauan Khusus
347;PADI;Minna Padi Investama Sekuritas;09/01/2012;11307246524;Pemantauan Khusus
348;PALM;Provident Investasi Bersama Tb;08/10/2012;15773797158;Pengembangan
349;PANR;Panorama Sentrawisata Tbk.;18/09/2001;1387500000;Utama
350;PANS;Panin Sekuritas Tbk.;31/05/2000;720000000;Utama
351;PBRX;Pan Brothers Tbk.;16/08/1990;21482028246;Pemantauan Khusus
352;PDES;Destinasi Tirta Nusantara Tbk;08/07/2008;715000000;Pengembangan
353;PEGE;Panca Global Kapital Tbk.;24/06/2005;2833417056;Pengembangan
354;PGAS;Perusahaan Gas Negara Tbk.;15/12/2003;24241508196;Utama
355;PGLI;Pembangunan Graha Lestari Inda;05/04/2000;488000000;Pengembangan
356;PICO;Pelangi Indah Canindo Tbk;23/09/1996;568375000;Pengembangan
357;PJAA;Pembangunan Jaya Ancol Tbk.;02/07/2004;1599999996;Pengembangan
358;PKPK;Perdana Karya Perkasa Tbk;11/07/2007;1200000000;Pengembangan
359;PLAS;Polaris Investama Tbk;16/03/2001;1184200000;Pemantauan Khusus
360;PLIN;Plaza Indonesia Realty Tbk.;15/06/1992;3550000000;Pemantauan Khusus
361;PNBN;Bank Pan Indonesia Tbk;29/12/1982;23837645998;Utama
362;PNBS;Bank Panin Dubai Syariah Tbk.;15/01/2014;38425504906;Pengembangan
363;PNIN;Paninvest Tbk.;20/09/1983;4068323920;Utama
364;PNLF;Panin Financial Tbk.;14/06/1983;32022073293;Utama
365;PNSE;Pudjiadi & Sons Tbk.;01/05/1990;797813496;Pengembangan
366;POLY;Asia Pacific Fibers Tbk;12/03/1991;2495753334;Pemantauan Khusus
367;POOL;Pool Advista Indonesia Tbk.;20/05/1991;2341366264;Pemantauan Khusus
368;PPRO;PP Properti Tbk.;19/05/2015;61675671883;Pemantauan Khusus
369;PRAS;Prima Alloy Steel Universal Tb;12/07/1990;701043478;Pemantauan Khusus
370;PSAB;J Resources Asia Pasifik Tbk.;22/04/2003;26460000000;Pengembangan
371;PSDN;Prasidha Aneka Niaga Tbk;18/10/1994;1440000000;Pengembangan
372;PSKT;Red Planet Indonesia Tbk.;19/09/1995;10351231636;Pemantauan Khusus
373;PTBA;Bukit Asam Tbk.;23/12/2002;11520659250;Utama
374;PTIS;Indo Straits Tbk.;12/07/2011;550165300;Pengembangan
375;PTPP;PP (Persero) Tbk.;09/02/2010;6199897354;Utama
376;PTRO;Petrosea Tbk.;21/05/1990;10086050000;Utama
377;PTSN;Sat Nusapersada Tbk;08/11/2007;5314344000;Pengembangan
378;PTSP;Pioneerindo Gourmet Internatio;30/05/1994;220808000;Pengembangan
379;PUDP;Pudjiadi Prestige Tbk.;18/11/1994;659120000;Pengembangan
380;PWON;Pakuwon Jati Tbk.;09/10/1989;48159602400;Utama
381;PYFA;Pyridam Farma Tbk;16/10/2001;11236683259;Pengembangan
382;RAJA;Rukun Raharja Tbk.;19/04/2006;4227082500;Utama
383;RALS;Ramayana Lestari Sentosa Tbk.;24/07/1996;7096000000;Utama
384;RANC;Supra Boga Lestari Tbk.;07/06/2012;1564487500;Pengembangan
385;RBMS;Ristia Bintang Mahkotasejati T;19/12/1997;2656212826;Pemantauan Khusus
386;RDTX;Roda Vivatex Tbk;14/05/1990;268800000;Pengembangan
387;RELI;Reliance Sekuritas Indonesia T;13/07/2005;1800000000;Pengembangan
388;RICY;Ricky Putra Globalindo Tbk;22/01/1998;641717510;Pemantauan Khusus
389;RIGS;Rig Tenders Indonesia Tbk.;05/03/1990;609130000;Pengembangan
390;RIMO;Rimo International Lestari Tbk;10/11/2000;45080600000;Pemantauan Khusus
391;RODA;Pikko Land Development Tbk.;22/10/2001;13592128209;Pemantauan Khusus
392;ROTI;Nippon Indosari Corpindo Tbk.;28/06/2010;6186488888;Pengembangan
393;RUIS;Radiant Utama Interinsco Tbk.;12/07/2006;770000000;Pengembangan
394;SAFE;Steady Safe Tbk;15/08/1994;615145012;Pengembangan
395;SAME;Sarana Meditama Metropolitan T;11/01/2013;17147132545;Utama
396;SCCO;Supreme Cable Manufacturing & ;20/07/1982;822333600;Pengembangan
397;SCMA;Surya Citra Media Tbk.;16/07/2002;73970569505;Utama
398;SCPI;Organon Pharma Indonesia Tbk.;08/06/1990;3600000;Pemantauan Khusus
399;SDMU;Sidomulyo Selaras Tbk.;12/07/2011;1135225000;Pemantauan Khusus
400;SDPC;Millennium Pharmacon Internati;07/05/1990;1274000000;Pengembangan
401;SDRA;Bank Woori Saudara Indonesia 1;15/12/2006;14545267990;Pengembangan
402;SGRO;Sampoerna Agro Tbk.;18/06/2007;1818622000;Utama
403;SHID;Hotel Sahid Jaya International;08/05/1990;1119326168;Pengembangan
404;SIDO;Industri Jamu dan Farmasi Sido;18/12/2013;30000000000;Utama
405;SILO;Siloam International Hospitals;12/09/2013;13006125000;Utama
406;SIMA;Siwani Makmur Tbk;03/06/1994;442589871;Pemantauan Khusus
407;SIMP;Salim Ivomas Pratama Tbk.;09/06/2011;15501310000;Utama
408;SIPD;Sreeya Sewu Indonesia Tbk.;27/12/1996;1839102056;Pengembangan
409;SKBM;Sekar Bumi Tbk.;28/09/2012;1730103217;Pengembangan
410;SKLT;Sekar Laut Tbk.;08/09/1993;6907405000;Pengembangan
411;SKYB;Northcliff Citranusa Indonesia;07/07/2010;585000000;Pemantauan Khusus
412;SMAR;Smart Tbk.;20/11/1992;2872193366;Pengembangan
413;SMBR;Semen Baturaja Tbk.;28/06/2013;9932534336;Utama
414;SMCB;Solusi Bangun Indonesia Tbk.;10/08/1977;9019381973;Pemantauan Khusus
415;SMDM;Suryamas Dutamakmur Tbk.;12/10/1995;4772138237;Pengembangan
416;SMDR;Samudera Indonesia  Tbk.;05/07/1999;16375600000;Utama
417;SMGR;Semen Indonesia (Persero) Tbk.;08/07/1991;6751540089;Utama
418;SMMA;Sinarmas Multiartha Tbk.;05/07/1995;6367664717;Utama
419;SMMT;Golden Eagle Energy Tbk.;01/12/1997;3425000000;Pengembangan
420;SMRA;Summarecon Agung Tbk.;07/05/1990;16508568358;Utama
421;SMRU;SMR Utama Tbk.;10/10/2011;12499385782;Pemantauan Khusus
422;SMSM;Selamat Sempurna Tbk.;09/09/1996;5758675440;Utama
423;SOCI;Soechi Lines Tbk.;03/12/2014;7059000000;Utama
424;SONA;Sona Topas Tourism Industry Tb;21/07/1992;662400000;Pengembangan
425;SPMA;Suparma Tbk.;16/11/1994;3154092216;Pengembangan
426;SQMI;Wilton Makmur Indonesia Tbk.;15/07/2004;15537591429;Pemantauan Khusus
427;SRAJ;Sejahteraraya Anugrahjaya Tbk.;11/04/2011;12238959990;Utama
428;SRIL;Sri Rejeki Isman Tbk.;17/06/2013;20452176844;Pemantauan Khusus
429;SRSN;Indo Acidatama Tbk;11/01/1993;6020000000;Pengembangan
430;SRTG;Saratoga Investama Sedaya Tbk.;26/06/2013;13564835000;Utama
431;SSIA;Surya Semesta Internusa Tbk.;27/03/1997;4705249440;Utama
432;SSMS;Sawit Sumbermas Sarana Tbk.;12/12/2013;9525000000;Utama
433;SSTM;Sunson Textile Manufacture Tbk;20/08/1997;1170909181;Pengembangan
434;STAR;Buana Artha Anugerah Tbk.;13/07/2011;4800000602;Pemantauan Khusus
435;STTP;Siantar Top Tbk.;16/12/1996;1310000000;Pengembangan
436;SUGI;Sugih Energy Tbk.;19/06/2002;24811541414;Pemantauan Khusus
437;SULI;SLJ Global Tbk.;21/03/1994;6320776836;Pengembangan
438;SUPR;Solusi Tunas Pratama Tbk.;11/10/2011;1137579698;Pemantauan Khusus
439;TALF;Tunas Alfin Tbk.;17/01/2014;1353435000;Pengembangan
440;TARA;Agung Semesta Sejahtera Tbk.;11/07/2014;10069645750;Pemantauan Khusus
441;TAXI;Express Transindo Utama Tbk.;02/11/2012;10223647156;Pemantauan Khusus
442;TBIG;Tower Bersama Infrastructure T;26/10/2010;22656999445;Utama
443;TBLA;Tunas Baru Lampung Tbk.;14/02/2000;6025373372;Utama
444;TBMS;Tembaga Mulia Semanan Tbk.;23/05/1990;734680000;Pengembangan
445;TCID;Mandom Indonesia Tbk.;30/09/1993;402133334;Pengembangan
446;TELE;Omni Inovasi Indonesia Tbk.;12/01/2012;7310929389;Pemantauan Khusus
447;TFCO;Tifico Fiber Indonesia Tbk.;26/02/1980;4823076400;Pemantauan Khusus
448;TGKA;Tigaraksa Satria Tbk.;11/06/1990;918492750;Pengembangan
449;TIFA;KDB Tifa Finance Tbk.;08/07/2011;3552213000;Pemantauan Khusus
450;TINS;Timah Tbk.;19/10/1995;7447753454;Utama
451;TIRA;Tira Austenite Tbk;27/07/1993;588000000;Pemantauan Khusus
452;TIRT;Tirta Mahakam Resources Tbk;13/12/1999;1011774750;Pemantauan Khusus
453;TKIM;Pabrik Kertas Tjiwi Kimia Tbk.;03/04/1990;3113223570;Utama
454;TLKM;Telkom Indonesia (Persero) Tbk;14/11/1995;99062216600;Utama
455;TMAS;Temas Tbk.;09/07/2003;57051500000;Utama
456;TMPO;Tempo Intimedia Tbk.;08/01/2001;1058333250;Pengembangan
457;TOBA;TBS Energi Utama Tbk.;06/07/2012;8167826970;Utama
458;TOTL;Total Bangun Persada Tbk.;25/07/2006;3410000000;Utama
459;TOTO;Surya Toto Indonesia Tbk.;30/10/1990;10320000000;Pengembangan
460;TOWR;Sarana Menara Nusantara Tbk.;08/03/2010;51014625000;Utama
461;TPIA;Chandra Asri Pacific Tbk.;26/05/2008;86511545092;Pengembangan
462;TPMA;Trans Power Marine Tbk.;20/02/2013;3507420034;Utama
463;TRAM;Trada Alam Minera Tbk.;10/09/2008;49643627934;Pemantauan Khusus
464;TRIL;Triwira Insanlestari Tbk.;28/01/2008;1200000000;Pemantauan Khusus
465;TRIM;Trimegah Sekuritas Indonesia T;31/01/2000;7109300000;Utama
466;TRIO;Trikomsel Oke Tbk.;14/04/2009;26007494645;Pemantauan Khusus
467;TRIS;Trisula International Tbk.;28/06/2012;3141443831;Pengembangan
468;TRST;Trias Sentosa Tbk.;02/07/1990;2808000000;Pengembangan
469;TRUS;Trust Finance Indonesia Tbk;28/11/2002;800000000;Pengembangan
470;TSPC;Tempo Scan Pacific Tbk.;17/06/1994;4509864300;Utama
471;ULTJ;Ultrajaya Milk Industry & Trad;02/07/1990;11553528000;Utama
472;UNIC;Unggul Indah Cahaya Tbk.;06/11/1989;383331363;Utama
473;UNIT;Nusantara Inti Corpora Tbk;18/04/2002;75422200;Pengembangan
474;UNSP;Bakrie Sumatera Plantations Tb;06/03/1990;2500162344;Pemantauan Khusus
475;UNTR;United Tractors Tbk.;19/09/1989;3730135136;Utama
476;UNVR;Unilever Indonesia Tbk.;11/01/1982;38150000000;Utama
477;VICO;Victoria Investama Tbk.;08/07/2013;15217075658;Pengembangan
478;VINS;Victoria Insurance Tbk.;28/09/2015;1460573616;Pengembangan
479;VIVA;Visi Media Asia Tbk.;21/11/2011;16464270400;Pemantauan Khusus
480;VOKS;Voksel Electric Tbk.;20/12/1990;4155602595;Pengembangan
481;VRNA;Mizuho Leasing Indonesia Tbk.;25/06/2008;5687353997;Pengembangan
482;WAPO;Wahana Pronatural Tbk.;22/06/2001;1240923111;Pengembangan
483;WEHA;WEHA Transportasi Indonesia Tb;31/05/2007;1460554819;Pengembangan
484;WICO;Wicaksana Overseas Internation;08/08/1994;2393710348;Pemantauan Khusus
485;WIIM;Wismilak Inti Makmur Tbk.;18/12/2012;2099873760;Utama
486;WIKA;Wijaya Karya (Persero) Tbk.;29/10/2007;39873063858;Pengembangan
487;WINS;Wintermar Offshore Marine Tbk.;29/11/2010;4364837057;Utama
488;WOMF;Wahana Ottomitra Multiartha Tb;13/12/2004;3481481480;Pengembangan
489;WSKT;Waskita Karya (Persero) Tbk.;19/12/2012;28806807016;Pemantauan Khusus
490;WTON;Wijaya Karya Beton Tbk.;08/04/2014;8715466600;Utama
491;YPAS;Yanaprima Hastapersada Tbk;05/03/2008;668000089;Pemantauan Khusus
492;YULE;Yulie Sekuritas Indonesia Tbk.;10/12/2004;1785000000;Pengembangan
493;ZBRA;Dosni Roha Indonesia Tbk.;01/08/1991;2510706263;Pengembangan
494;SHIP;Sillo Maritime Perdana Tbk.;16/06/2016;2719790000;Utama
495;CASA;Capital Financial Indonesia Tb;19/07/2016;54476269803;Pengembangan
496;DAYA;Duta Intidaya Tbk.;28/06/2016;2420547025;Pengembangan
497;DPUM;Dua Putra Utama Makmur Tbk.;08/12/2015;4175000000;Pengembangan
498;IDPR;Indonesia Pondasi Raya Tbk.;10/12/2015;2003000000;Pengembangan
499;JGLE;Graha Andrasentra Propertindo ;29/06/2016;22581909405;Pemantauan Khusus
500;KINO;Kino Indonesia Tbk.;11/12/2015;1428571500;Pengembangan
501;MARI;Mahaka Radio Integra Tbk.;11/02/2016;5252644000;Pengembangan
502;MKNT;Mitra Komunikasi Nusantara Tbk;26/10/2015;5500000000;Pemantauan Khusus
503;MTRA;Mitra Pemuda Tbk.;10/02/2016;770000000;Pemantauan Khusus
504;OASA;Maharaksa Biru Energi Tbk.;18/07/2016;6347220000;Pengembangan
505;POWR;Cikarang Listrindo Tbk.;14/06/2016;16087156000;Utama
506;INCF;Indo Komoditi Korpora Tbk.;06/09/2016;1438370465;Pemantauan Khusus
507;WSBP;Waskita Beton Precast Tbk.;20/09/2016;55836517121;Pemantauan Khusus
508;PBSA;Paramita Bangun Sarana Tbk.;28/09/2016;3000000000;Pengembangan
509;PRDA;Prodia Widyahusada Tbk.;07/12/2016;937500000;Utama
510;BOGA;Bintang Oto Global Tbk.;19/12/2016;3803526210;Pengembangan
511;BRIS;Bank Syariah Indonesia Tbk.;09/05/2018;45667877639;Utama
512;PORT;Nusantara Pelabuhan Handal Tbk;16/03/2017;2813941985;Pengembangan
513;CARS;Industri dan Perdagangan Bintr;10/04/2017;15000000000;Utama
514;MINA;Sanurhasta Mitra Tbk.;28/04/2017;6562500000;Pengembangan
515;FORZ;Forza Land Indonesia Tbk.;28/04/2017;1984009887;Pemantauan Khusus
516;CLEO;Sariguna Primatirta Tbk.;05/05/2017;12000000000;Utama
517;TAMU;Pelayaran Tamarin Samudra Tbk.;10/05/2017;37500000000;Pemantauan Khusus
518;CSIS;Cahayasakti Investindo Sukses ;10/05/2017;1307000000;Pengembangan
519;TGRA;Terregra Asia Energy Tbk.;16/05/2017;2750000000;Pemantauan Khusus
520;FIRE;Alfa Energi Investama Tbk.;09/06/2017;1475363179;Pengembangan
521;TOPS;Totalindo Eka Persada Tbk.;16/06/2017;33330000000;Pemantauan Khusus
522;KMTR;Kirana Megatara Tbk.;19/06/2017;8215366379;Pengembangan
523;ARMY;Armidian Karyatama Tbk.;21/06/2017;9006250000;Pemantauan Khusus
524;MAPB;MAP Boga Adiperkasa Tbk.;21/06/2017;2387922900;Pemantauan Khusus
525;WOOD;Integra Indocabinet Tbk.;21/06/2017;6437500000;Utama
526;HRTA;Hartadinata Abadi Tbk.;21/06/2017;4605262400;Utama
527;MABA;Marga Abhinaya Abadi Tbk.;22/06/2017;15365229912;Pemantauan Khusus
528;HOKI;Buyung Poetra Sembada Tbk.;22/06/2017;9677752680;Utama
529;MPOW;Megapower Makmur Tbk.;05/07/2017;816997053;Pengembangan
530;MARK;Mark Dynamics Indonesia Tbk.;12/07/2017;3800000310;Utama
531;NASA;Andalan Perkasa Abadi Tbk.;07/08/2017;11004929322;Pemantauan Khusus
532;MDKI;Emdeki Utama Tbk.;25/09/2017;2530150002;Pengembangan
533;BELL;Trisula Textile Industries Tbk;03/10/2017;7250000000;Pengembangan
534;KIOS;Kioson Komersial Indonesia Tbk;05/10/2017;1075862960;Pengembangan
535;GMFI;Garuda Maintenance Facility Ae;10/10/2017;37565978976;Pemantauan Khusus
536;MTWI;Malacca Trust Wuwungan Insuran;12/10/2017;2924486639;Pengembangan
537;ZINC;Kapuas Prima Coal Tbk.;16/10/2017;25250000000;Pemantauan Khusus
538;MCAS;M Cash Integrasi Tbk.;01/11/2017;867933300;Utama
539;PPRE;PP Presisi Tbk.;24/11/2017;10224271000;Pengembangan
540;WEGE;Wijaya Karya Bangunan Gedung T;30/11/2017;9572000000;Utama
541;PSSI;IMC Pelita Logistik Tbk.;05/12/2017;5417063153;Utama
542;MORA;Mora Telematika Indonesia Tbk.;08/08/2022;23646668691;Utama
543;DWGL;Dwi Guna Laksana Tbk.;13/12/2017;9252820991;Pengembangan
544;PBID;Panca Budi Idaman Tbk.;13/12/2017;7500000000;Utama
545;JMAS;Asuransi Jiwa Syariah Jasa Mit;18/12/2017;1000000000;Pengembangan
546;CAMP;Campina Ice Cream Industry Tbk;19/12/2017;5885000000;Pengembangan
547;IPCM;Jasa Armada Indonesia Tbk.;22/12/2017;5284811100;Pengembangan
548;PCAR;Prima Cakrawala Abadi Tbk.;29/12/2017;1166666700;Pengembangan
549;LCKM;LCK Global Kedaton Tbk.;16/01/2018;1000000000;Pengembangan
550;BOSS;Borneo Olah Sarana Sukses Tbk.;15/02/2018;1400000000;Pemantauan Khusus
551;HELI;Jaya Trishindo Tbk.;27/03/2018;832862387;Pengembangan
552;JSKY;Sky Energy Indonesia Tbk.;28/03/2018;2032540000;Pemantauan Khusus
553;INPS;Indah Prakasa Sentosa Tbk.;06/04/2018;650000000;Pengembangan
554;GHON;Gihon Telekomunikasi Indonesia;09/04/2018;550000000;Pengembangan
555;TDPM;Tianrong Chemicals Industry Tb;09/04/2018;10485050500;Pemantauan Khusus
556;DFAM;Dafam Property Indonesia Tbk.;27/04/2018;1899852850;Pengembangan
557;NICK;Charnic Capital Tbk.;02/05/2018;651150000;Pengembangan
558;BTPS;Bank BTPN Syariah Tbk.;08/05/2018;7626663000;Utama
559;SPTO;Surya Pertiwi Tbk.;14/05/2018;2700000000;Utama
560;PRIM;Royal Prima Tbk.;15/05/2018;3393434905;Pengembangan
561;HEAL;Medikaloka Hermina Tbk.;16/05/2018;15365950000;Utama
562;TRUK;Guna Timur Raya Tbk.;23/05/2018;435000000;Pengembangan
563;PZZA;Sarimelati Kencana Tbk.;23/05/2018;3021875000;Pengembangan
564;TUGU;Asuransi Tugu Pratama Indonesi;28/05/2018;3555575600;Utama
565;MSIN;MNC Digital Entertainment Tbk.;08/06/2018;60676178205;Utama
566;SWAT;Sriwahana Adityakarta Tbk.;08/06/2018;3019200000;Pemantauan Khusus
567;KPAL;Steadfast Marine Tbk.;08/06/2018;1069009400;Pemantauan Khusus
568;TNCA;Trimuda Nuansa Citra Tbk.;28/06/2018;421640000;Pengembangan
569;MAPA;Map Aktif Adiperkasa Tbk.;05/07/2018;28504000000;Utama
570;TCPI;Transcoal Pacific Tbk.;06/07/2018;5000000000;Pengembangan
571;IPCC;Indonesia Kendaraan Terminal T;09/07/2018;1818384820;Utama
572;RISE;Jaya Sukses Makmur Sentosa Tbk;09/07/2018;10945000000;Pengembangan
573;BPTR;Batavia Prosperindo Trans Tbk.;09/07/2018;3534000000;Pengembangan
574;POLL;Pollux Properties Indonesia Tb;11/07/2018;8318823600;Pemantauan Khusus
575;NFCX;NFC Indonesia Tbk.;12/07/2018;666667500;Pengembangan
576;MGRO;Mahkota Group Tbk.;12/07/2018;3554445700;Pengembangan
577;NUSA;Sinergi Megah Internusa Tbk.;12/07/2018;7700000148;Pemantauan Khusus
578;FILM;MD Entertainment Tbk.;07/08/2018;9897787962;Utama
579;ANDI;Andira Agro Tbk.;16/08/2018;9350000000;Pemantauan Khusus
580;LAND;Trimitra Propertindo Tbk.;23/08/2018;2792620000;Pemantauan Khusus
581;MOLI;Madusari Murni Indah Tbk.;30/08/2018;2724036581;Pengembangan
582;PANI;Pantai Indah Kapuk Dua Tbk.;18/09/2018;16883595500;Pengembangan
583;DIGI;Arkadia Digital Media Tbk.;18/09/2018;1625000000;Pemantauan Khusus
584;CITY;Natura City Developments Tbk.;28/09/2018;5405188966;Pengembangan
585;SAPX;Satria Antaran Prima Tbk.;03/10/2018;833333300;Pengembangan
586;KPAS;Cottonindo Ariesta Tbk.;05/10/2018;768043253;Pemantauan Khusus
587;SURE;Super Energy Tbk.;05/10/2018;1497576771;Pengembangan
588;HKMU;HK Metals Utama Tbk.;09/10/2018;3221750000;Pemantauan Khusus
589;MPRO;Maha Properti Indonesia Tbk.;09/10/2018;9942500000;Pengembangan
590;DUCK;Jaya Bersama Indo Tbk.;10/10/2018;1283330000;Pemantauan Khusus
591;GOOD;Garudafood Putra Putri Jaya Tb;10/10/2018;36897901455;Utama
592;SKRN;Superkrane Mitra Utama Tbk.;11/10/2018;7500000000;Pengembangan
593;YELO;Yelooo Integra Datanet Tbk.;29/10/2018;1912774405;Pemantauan Khusus
594;CAKK;Cahayaputra Asa Keramik Tbk.;31/10/2018;1203300219;Pengembangan
595;SATU;Kota Satu Properti Tbk.;05/11/2018;1375000000;Pengembangan
596;ZONE;Mega Perintis Tbk.;12/12/2018;870171478;Pengembangan
597;PEHA;Phapros Tbk.;26/12/2018;840000000;Pengembangan
598;FOOD;Sentra Food Indonesia Tbk.;08/01/2019;650000000;Pemantauan Khusus
599;BEEF;Estika Tata Tiara Tbk.;10/01/2019;7186061591;Pengembangan
600;POLI;Pollux Hotels Group Tbk.;10/01/2019;2010526400;Pemantauan Khusus
601;CLAY;Citra Putra Realty Tbk.;18/01/2019;2570000000;Pengembangan
602;NATO;Surya Permata Andalan Tbk.;18/01/2019;8001111504;Pengembangan
603;JAYA;Armada Berjaya Trans Tbk.;21/02/2019;798499394;Pengembangan
604;COCO;Wahana Interfood Nusantara Tbk;20/03/2019;889863981;Pengembangan
605;MTPS;Meta Epsi Tbk.;10/04/2019;2084850829;Pemantauan Khusus
606;CPRI;Capri Nusa Satu Properti Tbk.;11/04/2019;2433379958;Pemantauan Khusus
607;HRME;Menteng Heritage Realty Tbk.;12/04/2019;5958750000;Pemantauan Khusus
608;POSA;Bliss Properti Indonesia Tbk.;10/05/2019;8388870206;Pemantauan Khusus
609;JAST;Jasnita Telekomindo Tbk.;16/05/2019;1082575738;Pengembangan
610;FITT;Hotel Fitra International Tbk.;11/06/2019;1304272051;Pengembangan
611;BOLA;Bali Bintang Sejahtera Tbk.;17/06/2019;6000000000;Utama
612;CCSI;Communication Cable Systems In;18/06/2019;1333333331;Pengembangan
613;SFAN;Surya Fajar Capital Tbk.;19/06/2019;1359934021;Pengembangan
614;POLU;Golden Flower Tbk.;26/06/2019;750000000;Pengembangan
615;KJEN;Krida Jaringan Nusantara Tbk.;01/07/2019;500000000;Pengembangan
616;KAYU;Darmi Bersaudara Tbk.;04/07/2019;665000000;Pemantauan Khusus
617;ITIC;Indonesian Tobacco Tbk.;04/07/2019;940720000;Pengembangan
618;PAMG;Bima Sakti Pertiwi Tbk.;05/07/2019;3125000000;Pengembangan
619;IPTV;MNC Vision Networks Tbk.;08/07/2019;42197950841;Pemantauan Khusus
620;BLUE;Berkah Prima Perkasa Tbk.;08/07/2019;418000000;Pengembangan
621;ENVY;Envy Technologies Indonesia Tb;08/07/2019;1800000000;Pemantauan Khusus
622;EAST;Eastparc Hotel Tbk.;09/07/2019;4126405336;Pengembangan
623;LIFE;MSIG Life Insurance Indonesia ;09/07/2019;2100000000;Pengembangan
624;FUJI;Fuji Finance Indonesia Tbk.;09/07/2019;1300000000;Pengembangan
625;KOTA;DMS Propertindo Tbk.;09/07/2019;10546185701;Pemantauan Khusus
626;INOV;Inocycle Technology Group Tbk.;10/07/2019;1808221900;Pengembangan
627;ARKA;Arkha Jayanti Persada Tbk.;10/07/2019;2000000000;Pemantauan Khusus
628;SMKL;Satyamitra Kemas Lestari Tbk.;11/07/2019;3418085290;Pengembangan
629;HDIT;Hensel Davest Indonesia Tbk.;12/07/2019;1524680000;Pemantauan Khusus
630;KEEN;Kencana Energi Lestari Tbk.;02/09/2019;3666312500;Utama
631;BAPI;Bhakti Agung Propertindo Tbk.;16/09/2019;5591980103;Pemantauan Khusus
632;TFAS;Telefast Indonesia Tbk.;17/09/2019;1666666500;Pengembangan
633;GGRP;Gunung Raja Paksi Tbk.;19/09/2019;12111376157;Pemantauan Khusus
634;OPMS;Optima Prima Metal Sinergi Tbk;23/09/2019;1000000000;Pengembangan
635;NZIA;Nusantara Almazia Tbk.;25/09/2019;2197540705;Pengembangan
636;SLIS;Gaya Abadi Sempurna Tbk.;07/10/2019;2463336984;Pengembangan
637;PURE;Trinitan Metals and Minerals T;09/10/2019;1375181505;Pemantauan Khusus
638;IRRA;Itama Ranoraya Tbk.;15/10/2019;1600000000;Pengembangan
639;DMMX;Digital Mediatama Maxima Tbk.;21/10/2019;7692307700;Pengembangan
640;SINI;Singaraja Putra Tbk.;08/11/2019;481000000;Pemantauan Khusus
641;WOWS;Ginting Jaya Energi Tbk.;08/11/2019;2475720000;Pemantauan Khusus
642;ESIP;Sinergi Inti Plastindo Tbk.;14/11/2019;1109953847;Pemantauan Khusus
643;TEBE;Dana Brata Luhur Tbk.;18/11/2019;1285000000;Utama
644;KEJU;Mulia Boga Raya Tbk.;25/11/2019;5624999999;Pengembangan
645;PSGO;Palma Serasih Tbk.;25/11/2019;18850000000;Utama
646;AGAR;Asia Sejahtera Mina Tbk.;02/12/2019;1000000000;Pengembangan
647;IFSH;Ifishdeco Tbk.;05/12/2019;2125000000;Pengembangan
648;REAL;Repower Asia Indonesia Tbk.;06/12/2019;6633610151;Pemantauan Khusus
649;IFII;Indonesia Fibreboard Industry ;10/12/2019;9412000000;Pengembangan
650;PMJS;Putra Mandiri Jembar Tbk.;18/12/2019;13755600000;Pengembangan
651;UCID;Uni-Charm Indonesia Tbk.;20/12/2019;4156572300;Utama
652;GLVA;Galva Technologies Tbk.;23/12/2019;1500000000;Pengembangan
653;PGJO;Tourindo Guide Indonesia Tbk.;08/01/2020;795859095;Akselerasi
654;AMAR;Bank Amar Indonesia Tbk.;09/01/2020;18197283760;Pengembangan
655;CSRA;Cisadane Sawit Raya Tbk.;09/01/2020;2050000000;Utama
656;INDO;Royalindo Investa Wijaya Tbk.;13/01/2020;4480741638;Pengembangan
657;AMOR;Ashmore Asset Management Indon;14/01/2020;2222222400;Pengembangan
658;TRIN;Perintis Triniti Properti Tbk.;15/01/2020;4551457346;Pengembangan
659;DMND;Diamond Food Indonesia Tbk.;22/01/2020;9468359000;Pemantauan Khusus
660;PURA;Putra Rajawali Kencana Tbk.;29/01/2020;6301930902;Pemantauan Khusus
661;PTPW;Pratama Widya Tbk.;07/02/2020;878187500;Pengembangan
662;TAMA;Lancartama Sejati Tbk.;10/02/2020;1200000696;Pemantauan Khusus
663;IKAN;Era Mandiri Cemerlang Tbk.;12/02/2020;833333000;Pemantauan Khusus
664;AYLS;Agro Yasa Lestari Tbk.;12/02/2020;853423236;Pengembangan
665;DADA;Diamond Citra Propertindo Tbk.;14/02/2020;7431530800;Pemantauan Khusus
666;ASPI;Andalan Sakti Primaindo Tbk.;17/02/2020;681823317;Pengembangan
667;ESTA;Esta Multi Usaha Tbk.;09/03/2020;2425354179;Pemantauan Khusus
